Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Taman Ambar,"Taman Ambar, Kota Setar, Kedah",1,6.12700385,100.3772432874695
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Taman Lam Soon,"Taman Lam Soon, Kota Setar, Kedah",1,,
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Lorong Syariff,"Lorong Syariff, Kota Setar, Kedah",1,,
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Jalan Telok Wan Jah,"Jalan Telok Wan Jah, Kota Setar, Kedah",1,,
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Lorong Perwira,"Lorong Perwira, Kota Setar, Kedah",1,6.1190316,100.3763072
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pahlawan,"Lorong Pahlawan, Kota Setar, Kedah",1,6.1226879,100.3763925
2015.0,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pendekar,"Lorong Pendekar, Kota Setar, Kedah",1,6.1204061,100.3782393
2015.0,31/5,31/5/2015,Kedah,Kubang Pasu,UUM Sintok,"UUM Sintok, Kubang Pasu, Kedah",1,6.4641470000000005,100.50304918471942
2015.0,31/5,31/5/2015,Kedah,Kubang Pasu,Sek. Keb. Sintoi,"Sek. Keb. Sintoi, Kubang Pasu, Kedah",1,,
2015.0,31/5,31/5/2015,Kedah,Kubang Pasu,Kg. Belukar,"Kg. Belukar, Kubang Pasu, Kedah",1,6.2793125,100.3779871
2015.0,31/5,31/5/2015,Kedah,Kubang Pasu,Kg. Sg. Petani,"Kg. Sg. Petani, Kubang Pasu, Kedah",1,,
2015.0,31/5,31/5/2015,Kedah,Kubang Pasu,Kg. Kubang Betong,"Kg. Kubang Betong, Kubang Pasu, Kedah",1,6.380919,100.4415285
2015.0,8/6,8/6/2015,Kedah,Kulim,Kg. Terap,"Kg. Terap, Kulim, Kedah",1,5.2861845,100.6272266
2015.0,8/6,8/6/2015,Kedah,Kulim,Kg. Indah Durian Buring,"Kg. Indah Durian Buring, Kulim, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Kulim,Kg. Batu 12,"Kg. Batu 12, Kulim, Kedah",1,5.6073371,100.6625962
2015.0,8/6,8/6/2015,Kedah,Kulim,Kg. Sg. Tengas,"Kg. Sg. Tengas, Kulim, Kedah",1,5.2862743,100.6707555
2015.0,8/6,8/6/2015,Kedah,Kulim,Kg. Bendang Sera,"Kg. Bendang Sera, Kulim, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Kulim,Jln. Sg. Punti,"Jln. Sg. Punti, Kulim, Kedah",1,5.2447826,100.6021211
2015.0,8/6,8/6/2015,Kedah,Kulim,Jln. Kg. Batu 12,"Jln. Kg. Batu 12, Kulim, Kedah",1,5.2773791,100.6190667
2015.0,8/6,8/6/2015,Kedah,Kulim,Jln. Klinik Kesihatan Sg. Tengas,"Jln. Klinik Kesihatan Sg. Tengas, Kulim, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Pekan Serdan,"Pekan Serdan, Bandar Baharu, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Kg. Majidee,"Kg. Majidee, Bandar Baharu, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Kg. Leret,"Kg. Leret, Bandar Baharu, Kedah",1,5.225527,100.6006643
